matricula,admissão,cargo,observacoes3,desc_situacao,na_compra,titulo_do_cargo,empresa,sindicato
33787,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34134,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34264,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30620,,,,Trabalhando,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31771,,,,Trabalhando,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30396,,,,Trabalhando,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32240,,,,Trabalhando,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32441,,,,Trabalhando,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26854,,,,Trabalhando,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26856,,,,Trabalhando,,ANALISTA DE EXCELENCIA OPERACIONAL I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
29063,,,,Trabalhando,,CONSULTOR FUNCIONAL SAP I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
29067,,,,Trabalhando,,CONSULTOR FUNCIONAL SAP I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30505,,,,Trabalhando,,ANALISTA CONTABIL-FISCAL I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30264,,,,Licença Maternidade,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31119,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31393,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32125,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33179,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35746,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35592,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35603,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35620,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35622,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35662,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35666,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35407,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35421,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35449,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35468,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34576,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34580,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34628,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34629,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34669,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34899,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33409,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33546,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34128,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34220,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30140,,,,Férias,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30436,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30506,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32336,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34495,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34506,,,,Férias,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34524,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35542,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35711,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32369,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32562,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33113,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34327,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34410,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33155,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32948,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33413,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33518,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33520,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33736,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30173,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32344,,,,Férias,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32747,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34513,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35504,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33162,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33789,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30875,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31087,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32172,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32284,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32345,,,,Licença Maternidade,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34837,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35113,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35212,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35385,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35502,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35511,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32420,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33161,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33737,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33842,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34543,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34573,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30205,,,,Férias,,COORDENADOR DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30273,,,,Trabalhando,,COORDENADOR DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33221,,,,Trabalhando,,COORDENADOR DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26275,,,,Trabalhando,,COORDENADOR DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30340,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30495,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30510,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30426,,,,Férias,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30175,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33249,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30145,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30425,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30281,,,,Férias,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32388,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31570,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33812,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34581,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35208,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30262,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30864,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32480,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33022,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30870,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30200,,,,Licença Maternidade,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30876,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31185,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32383,,,,Férias,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33562,,,,Férias,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
25872,,,,Trabalhando,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30423,,,,Trabalhando,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35057,,,,Trabalhando,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31086,,,,Trabalhando,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32142,,,,Trabalhando,,GERENTE DE OPERACOES I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34684,,,,Trabalhando,,AGILE MASTER,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35361,,,,Trabalhando,,ANALISTA ADMINISTRATIVO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26716,,,,Trabalhando,,ENTERPRISE AGILE COACH,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
25770,,,,Trabalhando,,ANALISTA ADMINISTRATIVO II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
31153,,,,Trabalhando,,ASSISTENTE DE ADMINISTRACAO DE PESSOAS,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
32795,,,,Trabalhando,,ANALISTA DE COMUNICACAO E MARKETING III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
30770,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
34118,,,,Trabalhando,,CONSULTOR FUNCIONAL SAP III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
34867,,,,Auxílio Doença,,CONSULTOR TECNICO SAP II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
30806,,,,Trabalhando,,CONSULTOR TECNICO SAP III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
33099,,,,Trabalhando,,ANALISTA DE COMUNICACAO E MARKETING II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
35389,,,,Trabalhando,,ANALISTA DE COMUNICACAO E MARKETING II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
35426,,,,Trabalhando,,ANALISTA DE COMUNICACAO E MARKETING II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
27246,,,,Trabalhando,,GERENTE DE COMUNICACAO E MARKETING,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
30751,,,,Trabalhando,,DEVELOPER III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
33788,,,,Trabalhando,,ANALISTA DE SEGURANCA DA INFORMACAO III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
35399,,,,Trabalhando,,CONSULTOR FUNCIONAL SAP II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
31823,,,,Trabalhando,,CONSULTOR FUNCIONAL SAP III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
35073,,,,Trabalhando,,CONSULTOR FUNCIONAL SAP III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
31671,,,,Trabalhando,,CONSULTOR ESPECIALISTA FUNCIONAL SAP,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
34759,,,,Trabalhando,,GERENTE DE OPERACOES I,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
35463,,,,Trabalhando,,GERENTE DE PROJETOS II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
32488,,,,Trabalhando,,GERENTE DE PROJETOS II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
33918,,,,Trabalhando,,GERENTE DE PROJETOS II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
31550,,,,Trabalhando,,ANALISTA DE SEGURANCA DA INFORMACAO II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
33828,,,,Trabalhando,,AGILE MASTER,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
33608,,,,Férias,,ARQUITETO DE SOLUCOES III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
34668,,,,Trabalhando,,ARQUITETO DE SOLUCOES III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
34957,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
33178,,,,Trabalhando,,CONSULTOR FUNCIONAL SAP I,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
34253,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
31474,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE I,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
31517,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
35095,,,,Trabalhando,,ANALISTA DE SUPORTE I,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
35733,,,,Trabalhando,,ANALISTA DE SUPORTE I,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
34272,,,,Trabalhando,,GERENTE DE OPERACOES I,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
33007,,,,Trabalhando,,PRODUCT OWNER III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
34980,,,,Trabalhando,,PRODUCT OWNER III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
35118,,,,Trabalhando,,DESENVOLVEDOR I,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
33237,,,,Trabalhando,,ANALISTA DE SEGURANCA DA INFORMACAO III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
33729,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
34652,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
33153,,,,Trabalhando,,DESENVOLVEDOR II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
34198,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
34313,,,,Trabalhando,,PRODUCT MANAGER II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
35778,,,,Trabalhando,,PRODUCT MANAGER II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
