matricula,admissão,cargo,observacoes3,desc_situacao,na_compra,titulo_do_cargo,empresa,sindicato
33395,,,,Trabalhando,,COORDENADOR DE ADMINISTRACAO DE PESSOAS,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
28996,,,,Trabalhando,,LIDER TECNICO PLENO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35132,,,,Trabalhando,,COORDENADOR DE ATRACAO E SELECAO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32031,,,,Trabalhando,,TECH RECRUITER I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35177,,,,Trabalhando,,TECH RECRUITER II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35182,,,,Trabalhando,,TECH RECRUITER II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35224,,,,Trabalhando,,TECH RECRUITER II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35390,,,,Trabalhando,,TECH RECRUITER II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35633,,,,Trabalhando,,TECH RECRUITER III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31795,,,,Trabalhando,,ANALISTA DE FINANCAS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35136,,,,Trabalhando,,ANALISTA DE FINANCAS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31269,,,,Trabalhando,,ANALISTA DE FINANCAS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
25251,,,,Trabalhando,,ANALISTA DE FINANCAS III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
23499,,,,Trabalhando,,COORDENADOR FINANCEIRO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26927,,,,Trabalhando,,ANALISTA DE COMPLIANCE II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33708,,,,Trabalhando,,GERENTE JURIDICO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33595,,,,Trabalhando,,DESENVOLVEDOR DE RPA I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35360,,,,Trabalhando,,ASSISTENTE DE COMPRAS,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26182,,,,Trabalhando,,ANALISTA DE COMPRAS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
29033,,,,Trabalhando,,ANALISTA DE COMPRAS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31494,,,,Trabalhando,,GERENTE DE PESSOAS E PERFORMANCE,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31963,,,,Trabalhando,,ANALISTA DE EDUCACAO CORPORATIVA I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32975,,,,Trabalhando,,DESIGNER UX/UI II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33832,,,,Trabalhando,,ASSISTENTE DE COMUNICACAO E MARKETING,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35199,,,,Trabalhando,,ANALISTA DE EDUCACAO CORPORATIVA II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31505,,,,Trabalhando,,COORDENADOR DE REMUNERACAO E PERFORMANCE,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26859,,,,Trabalhando,,COORDENADOR DE ATRACAO E SELECAO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34686,,,,Trabalhando,,TECH RECRUITER I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30609,,,,Trabalhando,,TECH RECRUITER II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35178,,,,Trabalhando,,TECH RECRUITER II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35712,,,,Trabalhando,,TECH RECRUITER II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35745,,,,Trabalhando,,AGILE COACH II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
29342,,,,Trabalhando,,BUSINESS PARTNER ESPECIALISTA,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30025,,,,Trabalhando,,BUSINESS PARTNER ESPECIALISTA,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33111,,,,Trabalhando,,ANALISTA DE COMUNICACAO E MARKETING I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31646,,,,Trabalhando,,ANALISTA DE COMUNICACAO E MARKETING I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
25619,,,,Trabalhando,,COORDENADOR DE COMUNICACAO E MARKETING,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32030,,,,Trabalhando,,ANALISTA CONTABIL-FISCAL III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35693,,,,Trabalhando,,ANALISTA CONTABIL-FISCAL III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32751,,,,Trabalhando,,ANALISTA CONTABIL-FISCAL III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35485,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35201,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32761,,,,Férias,,ANALISTA DE SISTEMAS E NEGOCIOS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35675,,,,Trabalhando,,PRODUCT OWNER III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
25528,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31872,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35538,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35561,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35651,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35691,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35717,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26846,,,,Trabalhando,,ANALISTA DE SISTEMAS E NEGOCIOS III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35750,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35655,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32073,,,,Trabalhando,,ANALISTA DE COMUNICACAO E MARKETING II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34825,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35362,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30567,,,,Férias,,ANALISTA DE SUPORTE II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32099,,,,Trabalhando,,ANALISTA DE SUPORTE II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35705,,,,Trabalhando,,CONSULTOR FUNCIONAL SAP III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35768,,,,Trabalhando,,CONSULTOR ESPECIALISTA FUNCIONAL SAP,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26051,,,,Trabalhando,,GERENTE DE SERVICOS SENIOR,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34113,,,,Trabalhando,,DESENVOLVEDOR II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35549,,,,Trabalhando,,DESENVOLVEDOR II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34740,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33146,,,,Trabalhando,,CONSULTOR FUNCIONAL SAP III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32868,,,,Trabalhando,,ANALISTA DE PMO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35214,,,,Trabalhando,,DESENVOLVEDOR II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35279,,,,Trabalhando,,DESENVOLVEDOR II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32080,,,,Trabalhando,,ASSISTENTE DE CUSTOMER SUCCESS,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
25931,,,,Trabalhando,,GERENTE DE CUSTOMER SUCCESS,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
29254,,,,Trabalhando,,ANALISTA DE CUSTOMER SUCCESS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32356,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35606,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32848,,,,Trabalhando,,ANALISTA DE SISTEMAS E NEGOCIOS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26809,,,,Trabalhando,,ARQUITETO DE SOFTWARE III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34994,,,,Trabalhando,,COORDENADOR DE OPERACOES I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33929,,,,Trabalhando,,COORDENADOR DE OPERACOES I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26892,,,,Trabalhando,,DESENVOLVEDOR II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32244,,,,Trabalhando,,DESENVOLVEDOR II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35738,,,,Trabalhando,,DESENVOLVEDOR II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32920,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26949,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
27009,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30325,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32292,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35659,,,,Trabalhando,,DESENVOLVEDOR I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35680,,,,Trabalhando,,DESENVOLVEDOR I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35590,,,,Trabalhando,,DESENVOLVEDOR I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34946,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34534,,,,Trabalhando,,PRODUCT OWNER II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
